,Brands,Title,price,Main_Price,Percent_Price_Reduction_in_%,Ratings,Number_of_Reviewer
894,Tecno,Tecno POP5 (BD2) 6,39700,44000,10,4.6,22
895,Tecno,Tecno Spark 7 (PR6,58900,65000,9,4.8,5
896,6.1,6.1 Inch Android S,46000,66000,30,4.8,5
897,UMIDIGI,UMIDIGI Power 5S 4,57900,98900,41,3.9,5
898,Nokia,Nokia 6303i CLASSI,10600,17500,39,3.9,5
899,Bontel,Bontel L2-Extra Sl,10700,12800,16,4.3,16
900,Bontel,Bontel V9 1.77 Inc,8500,12999,35,4,27
901,Blackview,Blackview A80S Sma,57000,97539,42,3.8,13
902,Nokia,Nokia XpressMusic ,9699,29990,68,3.2,5
903,Itel,"Itel A33 Plus, And",28500,30000,5,1.5,5
904,Imose,Imose Waka Is,7500,30000,5,1.5,5
905,Imose,Imose Sabi 1 Dual ,5500,30000,5,1.5,5
906,Imose,Imose Sabi II Dual,8500,30000,5,1.5,5
907,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
908,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
909,Imose,Imose Padi+,7500,12398,15,5,5
910,Huawei,Huawei GSM SIM Car,12000,20000,40,5,5
911,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
912,Tecno,"Tecno Spark 8P, 6.",80190,13700,20,4.7,5
913,Itel,"Itel A16 Plus 5.0""",25890,32000,19,4.2,182
914,Gionee,Gionee S10 LITE 4G,30900,52876,42,4.1,5
915,UMIDIGI,UMIDIGI BISON X10 ,75900,145284,48,4,5
916,Tecno,"Tecno T301, Dual S",6950,80001,13,3.6,14
917,LAND,LAND LINE TABLE PH,7800,80001,13,4.4,5
918,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
919,Infinix,Infinix Hot 11 Pla,77990,90000,13,3.9,39
920,Itel,"Itel It2163,1.77 S",5700,70001,19,3.9,39
921,Apple,Apple Refurbished ,83000,140000,41,5,5
922,Itel,"Itel P15 - 5.0"" HD",29800,37000,19,4.7,5
923,Apple,Apple Iphone 7 Plu,175000,37000,19,4.7,5
924,Apple,Apple Renewed ipro,75000,90000,17,4.7,5
925,Tecno,Tecno POVA Neo (LE,74990,95000,21,5,5
926,Nokia,"Nokia G10, 6.5"" 3G",65800,77000,15,4,5
927,Nokia,"Nokia G10, 6.5"" HD",74999,80000,6,4,5
928,Apple,Apple Refurbished ,53800,100000,46,5,5
929,Motorola,Motorola Razr V3i ,13300,23800,44,5,5
930,Apple,Apple Refurbished ,115000,190000,39,5,5
931,Tecno,Tecno Camon 18i (C,79999,91990,13,5,5
932,Apple,Apple Refurbished ,53000,80000,34,5,5
933,Samsung,Samsung Galaxy A12,92490,99900,7,4.5,80
934,Tecno,Tecno Spark 8P KG7,78300,99800,22,4.7,5
935,Nokia,"Nokia X10, 6.67"" H",136990,184000,26,4.6,5
936,Apple,Apple Refurbished ,53500,100000,47,4,5
937,Blackview,Blackview Oscal C2,44990,60500,26,4,5
938,Apple,Apple Renewed ipro,54000,80000,33,4,5
939,Itel,"Itel It2163,1.77 S",5820,80002,27,3.5,5
940,Gionee,Gionee S10 LITE 4G,30800,52706,42,3.1,20
941,Samsung,Samsung Galaxy A02,54900,60000,9,5,5
942,Tecno,Tecno POP5 (BD2) 6,39700,44000,10,4.6,22
943,Tecno,Tecno Spark 7 (PR6,58900,65000,9,4.8,5
944,6.1,6.1 Inch Android S,46000,66000,30,4.8,5
945,UMIDIGI,UMIDIGI Power 5S 4,57900,98900,41,3.9,5
946,Nokia,Nokia 6303i CLASSI,10600,17500,39,3.9,5
947,Bontel,Bontel L2-Extra Sl,10700,12800,16,4.3,16
948,Bontel,Bontel V9 1.77 Inc,8500,12999,35,4,27
949,Nokia,Nokia XpressMusic ,9699,29990,68,3.2,5
950,Blackview,Blackview A80S Sma,57000,97539,42,3.8,13
951,Itel,"Itel A33 Plus, And",28500,30000,5,1.5,5
952,Imose,Imose Waka Is,7500,30000,5,1.5,5
953,Imose,Imose Sabi 1 Dual ,5500,30000,5,1.5,5
954,Imose,Imose Sabi II Dual,8500,30000,5,1.5,5
955,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
956,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
957,Imose,Imose Padi+,7500,12398,15,5,5
958,Huawei,Huawei GSM SIM Car,12000,20000,40,5,5
959,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
960,Blackview,Blackview A80Plus ,67650,107808,37,3.9,5
961,Tecno,Tecno POP 5 Go (BD,38000,45100,16,2.5,5
962,Apple,Apple IPhone 11 6.,359000,400000,10,4.8,5
963,Nokia,Nokia 2720 FOLD KL,14780,26000,43,1,5
964,Apple,Apple Iphone 7 128,120000,26000,43,3.3,5
965,Tecno,"Tecno Pop 5 Go, 5.",38990,26000,43,5,5
966,Nokia,Nokia 1110i 1100 C,5000,98004,49,4.8,12
967,Samsung,Samsung Galaxy S9 ,110000,117000,6,4.8,12
968,Nokia,Nokia Phone Classi,8700,18800,54,4.8,12
969,Infinix,Infinix Zero X  - ,157500,159000,1,4.8,12
970,Apple,Apple IPhone 11 6.,341000,159000,1,4.8,12
971,Nokia,Nokia 2720 FOLD KL,14680,26000,44,4.8,12
972,Bontel,Bontel S3 1.77 Inc,8400,99991,16,3.5,12
973,Bontel,Bontel Hot 2 5.0 I,12990,14800,12,3.5,12
974,Apple,Apple Refurbished ,83000,140000,41,5,5
975,Gionee,Gionee M6 5.5'HD 4,32890,45990,28,5,5
976,Nokia,Nokia 2700C 2700 C,7500,10800,31,3.9,37
977,Nokia,Nokia C20 (TA-1352,46390,47400,2,4.3,5
978,Samsung,Samsung Galaxy S8 ,72990,95990,24,4.3,5
979,Blackview,Blackview A70Pro S,49990,72500,31,4.3,5
980,Bontel,Bontel K4+-2.4inch,5900,93003,37,3.3,12
981,Samsung,Samsung Galaxy A12,86700,90000,4,4.2,5
982,Nokia,Nokia 215 4G Dual ,8500,24000,65,5,5
983,Tecno,Tecno POP 5 Go (BD,37000,40000,8,4.3,5
984,Apple,Apple Refurbished ,52000,80000,35,4.3,5
985,Infinix,Infinix Smart HD 2,47850,50000,4,4.2,5
986,Nokia,Nokia Unlocked Ori,12700,22500,44,4.2,5
987,Tecno,Tecno T301 Dual Si,7099,80001,11,3.8,40
988,Itel,"Itel A16 Plus 5.0""",25890,35000,26,4.4,159
989,Itel,"Itel A58 6.6"" HD+ ",39990,43000,7,4,5
990,Nokia,Nokia 2610 1.5 Inc,4300,85004,49,5,5
991,Nokia,"Nokia 105, Dual Si",9500,11000,14,4,10
992,XIAOMI,XIAOMI Redmi Note ,189000,200000,6,4,10
993,Blackview,Blackview BV4900 R,61500,105241,42,4.3,5
994,Motorola,Motorola Razr V3 C,15800,21600,27,4.8,5
995,Tecno,Tecno POP 5 Go (BD,37790,50000,24,3.9,5
996,Nokia,"Nokia G20 - 6.5"" H",93800,109000,14,3.9,5
997,XIAOMI,XIAOMI Redmi Note ,132950,162950,18,3.9,5
998,Samsung,Samsung Galaxy S9 ,135000,162950,18,3.9,5
999,Nokia,"Nokia 105,(2019)4t",8850,95007,7,4.4,164
1000,Imose,Imose Waka Is,7500,95007,7,4.4,164
1001,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
1002,Imose,Imose Sabi II Dual,8500,15200,22,4,248
1003,Imose,Imose Sabi 1 Dual ,5500,15200,22,4,248
1004,Imose,Imose Padi+,7500,15200,22,5,5
1005,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
1006,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
1007,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
1008,Blackview,Blackview A80Plus ,67650,107808,37,3.9,5
1009,Tecno,Tecno POP 5 Go (BD,38000,45100,16,2.5,5
1010,Apple,Apple IPhone 11 6.,359000,400000,10,4.8,5
1011,Nokia,Nokia 2720 FOLD KL,14780,26000,43,1,5
1012,Apple,Apple Iphone 7 128,120000,26000,43,3.3,5
1013,Tecno,"Tecno Pop 5 Go, 5.",38990,26000,43,5,5
1014,Nokia,Nokia 1110i 1100 C,5000,98004,49,4.8,12
1015,Samsung,Samsung Galaxy S9 ,110000,117000,6,4.8,12
1016,Nokia,Nokia Phone Classi,8700,18800,54,4.8,12
1017,Infinix,Infinix Zero X  - ,157500,159000,1,4.8,12
1018,Apple,Apple IPhone 11 6.,341000,159000,1,4.8,12
1019,Nokia,Nokia 2720 FOLD KL,14680,26000,44,4.8,12
1020,Bontel,Bontel S3 1.77 Inc,8400,99991,16,3.5,12
1021,Bontel,Bontel Hot 2 5.0 I,12990,14800,12,3.5,12
1022,Apple,Apple Refurbished ,83000,140000,41,5,5
1023,Gionee,Gionee M6 5.5'HD 4,32890,45990,28,5,5
1024,Nokia,Nokia 2700C 2700 C,7500,10800,31,3.9,37
1025,Nokia,Nokia C20 (TA-1352,46390,47400,2,4.3,5
1026,Samsung,Samsung Galaxy S8 ,72990,95990,24,4.3,5
1027,Blackview,Blackview A70Pro S,49990,72500,31,4.3,5
1028,Bontel,Bontel K4+-2.4inch,5900,93003,37,3.3,12
1029,Nokia,Nokia 215 4G Dual ,8500,24000,65,5,5
1030,Samsung,Samsung Galaxy A12,86700,90000,4,4.2,5
1031,Tecno,Tecno POP 5 Go (BD,37000,40000,8,4.3,5
1032,Apple,Apple Refurbished ,52000,80000,35,4.3,5
1033,Infinix,Infinix Smart HD 2,47850,50000,4,4.2,5
1034,Nokia,Nokia Unlocked Ori,12700,22500,44,4.2,5
1035,Tecno,Tecno T301 Dual Si,7099,80001,11,3.8,40
1036,Itel,"Itel A16 Plus 5.0""",25890,35000,26,4.4,159
1037,Itel,"Itel A58 6.6"" HD+ ",39990,43000,7,4,5
1038,Nokia,Nokia 2610 1.5 Inc,4300,85004,49,5,5
1039,Nokia,"Nokia 105, Dual Si",9500,11000,14,4,10
1040,XIAOMI,XIAOMI Redmi Note ,189000,200000,6,4,10
1041,Motorola,Motorola Razr V3 C,15800,21600,27,4.8,5
1042,Blackview,Blackview BV4900 R,61500,105241,42,4.3,5
1043,Nokia,"Nokia G20 - 6.5"" H",93800,109000,14,4.3,5
1044,Tecno,Tecno POP 5 Go (BD,37790,50000,24,3.9,5
1045,XIAOMI,XIAOMI Redmi Note ,132950,162950,18,3.9,5
1046,Samsung,Samsung Galaxy S9 ,135000,162950,18,3.9,5
1047,Nokia,"Nokia 105,(2019)4t",8850,95007,7,4.4,164
1048,Imose,Imose Waka Is,7500,95007,7,4.4,164
1049,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
1050,Imose,Imose Sabi 1 Dual ,5500,15200,22,4,248
1051,Imose,Imose Sabi II Dual,8500,15200,22,4,248
1052,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
1053,Imose,Imose Padi+,7500,12398,15,5,5
1054,Huawei,Huawei GSM SIM Car,12000,20000,40,5,5
1055,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
1056,Blackview,Blackview A80Plus ,67650,107808,37,3.9,5
1057,Tecno,Tecno POP 5 Go (BD,38000,45100,16,2.5,5
1058,Apple,Apple IPhone 11 6.,359000,400000,10,4.8,5
1059,Apple,Apple Iphone 7 128,120000,400000,10,3.3,5
1060,Nokia,Nokia 2720 FOLD KL,14780,26000,43,1,5
1061,Tecno,"Tecno Pop 5 Go, 5.",38990,26000,43,5,5
1062,Nokia,Nokia 1110i 1100 C,5000,98004,49,4.8,12
1063,Samsung,Samsung Galaxy S9 ,110000,117000,6,4.8,12
1064,Nokia,Nokia Phone Classi,8700,18800,54,4.8,12
1065,Infinix,Infinix Zero X  - ,157500,159000,1,4.8,12
1066,Bontel,Bontel Hot 2 5.0 I,12990,14800,12,4.8,12
1067,Apple,Apple IPhone 11 6.,341000,14800,12,4.8,12
1068,Nokia,Nokia 2720 FOLD KL,14680,26000,44,4.8,12
1069,Bontel,Bontel S3 1.77 Inc,8400,99991,16,3.5,12
1070,Apple,Apple Refurbished ,83000,140000,41,5,5
1071,Gionee,Gionee M6 5.5'HD 4,32890,45990,28,5,5
1072,Nokia,Nokia 2700C 2700 C,7500,10800,31,3.9,37
1073,Nokia,Nokia C20 (TA-1352,46390,47400,2,4.3,5
1074,Samsung,Samsung Galaxy S8 ,72990,95990,24,4.3,5
1075,Blackview,Blackview A70Pro S,49990,72500,31,4.3,5
1076,Bontel,Bontel K4+-2.4inch,5900,93003,37,3.3,12
1077,Nokia,Nokia 215 4G Dual ,8500,24000,65,5,5
1078,Samsung,Samsung Galaxy A12,86700,90000,4,4.2,5
1079,Tecno,Tecno POP 5 Go (BD,37000,40000,8,4.3,5
1080,Apple,Apple Refurbished ,52000,80000,35,4.3,5
1081,Infinix,Infinix Smart HD 2,47850,50000,4,4.2,5
1082,Nokia,Nokia Unlocked Ori,12700,22500,44,4.2,5
1083,Tecno,Tecno T301 Dual Si,7099,80001,11,3.8,40
1084,Itel,"Itel A16 Plus 5.0""",25890,35000,26,4.4,159
1085,Itel,"Itel A58 6.6"" HD+ ",39990,43000,7,4,5
1086,Nokia,Nokia 2610 1.5 Inc,4300,85004,49,5,5
1087,Nokia,"Nokia 105, Dual Si",9500,11000,14,4,10
1088,Motorola,Motorola Razr V3 C,15800,21600,27,4.8,5
1089,XIAOMI,XIAOMI Redmi Note ,189000,200000,6,4.8,5
1090,Blackview,Blackview BV4900 R,61500,105241,42,4.3,5
1091,Tecno,Tecno POP 5 Go (BD,37790,50000,24,3.9,5
1092,Nokia,"Nokia G20 - 6.5"" H",93800,109000,14,3.9,5
1093,XIAOMI,XIAOMI Redmi Note ,132950,162950,18,3.9,5
1094,Samsung,Samsung Galaxy S9 ,135000,162950,18,3.9,5
1095,Nokia,"Nokia 105,(2019)4t",8850,95007,7,4.4,164
1096,Imose,Imose Waka Is,7500,95007,7,4.4,164
1097,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
1098,Imose,Imose Sabi 1 Dual ,5500,15200,22,4,248
1099,Imose,Imose Sabi II Dual,8500,15200,22,4,248
1100,Imose,Imose Padi+,7500,15200,22,5,5
1101,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
1102,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
1103,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
1104,Blackview,Blackview A80Plus ,67650,107808,37,3.9,5
1105,Tecno,Tecno POP 5 Go (BD,38000,45100,16,2.5,5
1106,Apple,Apple IPhone 11 6.,359000,400000,10,4.8,5
1107,Nokia,Nokia 2720 FOLD KL,14780,26000,43,1,5
1108,Apple,Apple Iphone 7 128,120000,26000,43,3.3,5
1109,Tecno,"Tecno Pop 5 Go, 5.",38990,26000,43,5,5
1110,Nokia,Nokia 1110i 1100 C,5000,98004,49,4.8,12
1111,Samsung,Samsung Galaxy S9 ,110000,117000,6,4.8,12
1112,Infinix,Infinix Zero X  - ,157500,159000,1,4.8,12
1113,Nokia,Nokia Phone Classi,8700,18800,54,4.8,12
1114,Apple,Apple IPhone 11 6.,341000,18800,54,4.8,12
1115,Nokia,Nokia 2720 FOLD KL,14680,26000,44,4.8,12
1116,Bontel,Bontel Hot 2 5.0 I,12990,14800,12,4.8,12
1117,Bontel,Bontel S3 1.77 Inc,8400,99991,16,3.5,12
1118,Apple,Apple Refurbished ,83000,140000,41,5,5
1119,Gionee,Gionee M6 5.5'HD 4,32890,45990,28,5,5
1120,Nokia,Nokia C20 (TA-1352,46390,47400,2,4.3,5
1121,Nokia,Nokia 2700C 2700 C,7500,10800,31,3.9,37
1122,Samsung,Samsung Galaxy S8 ,72990,95990,24,3.9,37
1123,Blackview,Blackview A70Pro S,49990,72500,31,3.9,37
1124,Bontel,Bontel K4+-2.4inch,5900,93003,37,3.3,12
1125,Samsung,Samsung Galaxy A12,86700,90000,4,4.2,5
1126,Tecno,Tecno POP 5 Go (BD,37000,40000,8,4.3,5
1127,Nokia,Nokia 215 4G Dual ,8500,24000,65,5,5
1128,Apple,Apple Refurbished ,52000,80000,35,5,5
1129,Infinix,Infinix Smart HD 2,47850,50000,4,4.2,5
1130,Nokia,Nokia Unlocked Ori,12700,22500,44,4.2,5
1131,Tecno,Tecno T301 Dual Si,7099,80001,11,3.8,40
1132,Itel,"Itel A16 Plus 5.0""",25890,35000,26,4.4,159
1133,Itel,"Itel A58 6.6"" HD+ ",39990,43000,7,4,5
1134,Nokia,Nokia 2610 1.5 Inc,4300,85004,49,5,5
1135,Nokia,"Nokia 105, Dual Si",9500,11000,14,4,10
1136,XIAOMI,XIAOMI Redmi Note ,189000,200000,6,4,10
1137,Motorola,Motorola Razr V3 C,15800,21600,27,4.8,5
1138,Blackview,Blackview BV4900 R,61500,105241,42,4.3,5
1139,Tecno,Tecno POP 5 Go (BD,37790,50000,24,3.9,5
1140,Nokia,"Nokia G20 - 6.5"" H",93800,109000,14,3.9,5
1141,XIAOMI,XIAOMI Redmi Note ,132950,162950,18,3.9,5
